113.166.93.239:5678, SOCKS4, 3020ms
94.179.153.218:8081, HTTP, 3026ms
190.97.253.233:999, HTTP, 3027ms
103.4.145.132:1080, SOCKS4, 3056ms
213.199.47.140:1080, SOCKS5, 3099ms
38.46.214.193:1080, HTTP, 3193ms
175.136.239.173:8181, HTTP, 3208ms
202.79.26.242:1080, SOCKS5, 3211ms
176.61.151.123:80, HTTP, 3227ms
147.45.60.250:1082, SOCKS5, 3254ms
219.94.75.224:8080, HTTP, 3382ms
109.94.1.23:4050, HTTP, 3391ms
103.38.183.18:1088, SOCKS4, 3393ms
202.176.1.77:5555, HTTP, 3408ms
181.78.198.7:8080, HTTP, 3410ms
195.226.213.254:8888, HTTP, 3410ms
38.101.88.246:999, HTTP, 3429ms
162.240.19.30:80, HTTP, 3477ms
38.41.0.87:999, HTTP, 3485ms
103.203.234.103:8080, HTTP, 3498ms
203.175.103.9:3125, HTTP, 3513ms
38.41.0.116:999, HTTP, 3516ms
103.156.75.109:8080, HTTP, 3529ms
181.143.59.140:4153, SOCKS4, 3536ms
159.196.182.72:8080, HTTP, 3546ms
109.172.55.177:1082, SOCKS4, 3557ms
179.1.182.28:999, HTTP, 3563ms
185.27.144.129:999, HTTP, 3610ms
72.56.75.158:8080, HTTP, 3620ms
45.95.233.128:1082, SOCKS4, 3630ms
210.87.92.82:8080, HTTP, 3636ms
163.172.53.142:80, HTTP, 3656ms
185.144.60.130:8095, HTTP, 3699ms
85.132.139.45:4153, SOCKS4, 3710ms
154.19.38.37:8080, HTTP, 3733ms
194.150.110.134:80, HTTP, 3748ms
114.31.8.202:2024, HTTP, 3758ms
189.50.138.10:5678, SOCKS4, 3770ms
144.24.171.189:555, SOCKS5, 3772ms
140.245.104.198:10808, SOCKS4, 3781ms
31.168.143.90:1080, SOCKS4, 3792ms
190.54.100.74:5678, SOCKS4, 3797ms
139.135.77.166:8085, HTTP, 3809ms
77.238.79.111:5678, SOCKS4, 3833ms
77.221.158.175:3128, HTTP, 3849ms
186.224.225.30:42648, SOCKS4, 3854ms
123.231.230.58:31196, SOCKS4, 3881ms
203.77.239.219:50574, SOCKS4, 3915ms
103.184.180.204:8080, HTTP, 3920ms
202.58.77.239:8080, HTTP, 3939ms
36.37.251.137:8080, HTTP, 3943ms
34.84.162.206:38080, HTTP, 3969ms
103.221.228.50:5678, SOCKS4, 3993ms
186.33.7.227:999, HTTP, 4016ms
195.62.50.11:8080, HTTP, 4025ms
159.192.139.42:5678, SOCKS4, 4031ms
5.255.103.55:1080, SOCKS5, 4094ms
43.245.85.46:808, HTTP, 4094ms
103.156.16.236:8818, HTTP, 4097ms
38.199.30.82:999, HTTP, 4106ms
103.115.255.225:36331, SOCKS4, 4117ms
116.204.229.227:8070, HTTP, 4148ms
113.11.120.105:30226, HTTP, 4163ms
154.88.132.50:8080, HTTP, 4174ms
103.150.64.69:8090, HTTP, 4188ms
45.174.253.9:999, HTTP, 4193ms
200.125.169.51:999, HTTP, 4199ms
38.7.195.49:999, HTTP, 4199ms
103.135.70.9:8080, HTTP, 4205ms
178.130.47.50:1082, SOCKS4, 4264ms
180.191.23.26:8081, HTTP, 4264ms
50.172.193.250:1080, SOCKS4, 4266ms
203.189.135.73:1080, SOCKS5, 4300ms
200.110.218.10:999, HTTP, 4307ms
177.144.160.215:9010, HTTPS, 4333ms
210.201.86.72:8080, HTTP, 4344ms
141.148.158.143:1080, SOCKS5, 4363ms
167.86.79.35:1080, SOCKS5, 4390ms
103.158.155.190:8080, HTTP, 4422ms
175.139.255.25:8181, HTTP, 4428ms
170.81.141.254:61437, SOCKS4, 4451ms
38.9.184.177:999, HTTPS, 4455ms
124.158.184.21:64999, HTTP, 4463ms
36.95.82.69:8080, HTTP, 4515ms
13.38.217.179:9066, HTTP, 4557ms
147.45.221.112:1082, SOCKS4, 4603ms
185.248.179.99:8080, HTTP, 4613ms
144.91.111.48:1088, SOCKS5, 4616ms
103.131.19.51:8080, HTTP, 4616ms
213.169.33.12:8001, HTTP, 4647ms
103.60.139.129:4153, SOCKS4, 4665ms
103.186.88.90:8080, HTTP, 4711ms
164.52.11.194:18080, HTTP, 4755ms
5.255.113.177:1080, SOCKS5, 4755ms
45.167.124.68:999, HTTP, 4777ms
103.67.85.150:3127, HTTP, 4777ms
193.106.57.96:5678, SOCKS4, 4779ms
34.81.160.132:80, HTTP, 4787ms
109.69.211.18:1080, SOCKS4, 4795ms
173.181.143.245:80, HTTP, 4907ms
103.185.250.142:1452, HTTP, 4918ms
