================ PROXY HEALTH REPORT ================
Generated : 2026-09-25T19:49:35Z
Alive     : 600
=====================================================

── ALIVE ──
90.181.120.18:8082 (http) | 3216ms | CZ
103.204.211.48:32255 (http) | 3223ms | BD
167.99.124.118:80 (http) | 3231ms | Unknown
43.207.141.180:28573 (http) | 3251ms | T1
36.37.189.64:5678 (socks4) | 3280ms | KH
160.226.220.30:1080 (socks4) | 3286ms | Unknown
186.97.200.210:999 (http) | 3299ms | CO
118.67.220.225:4145 (socks4) | 3365ms | BD
165.154.162.73:8888 (http) | 3406ms | US
217.182.195.221:30003 (http) | 3407ms | T1
47.89.184.18:3128 (http) | 3461ms | Unknown
13.206.73.237:625 (http) | 3484ms | T1
5.255.103.55:1080 (socks5) | 3487ms | NL
146.190.60.147:8003 (http) | 3500ms | US
190.153.122.3:999 (http) | 3547ms | VE
83.218.186.22:5678 (socks4) | 3549ms | AT
170.244.0.179:4145 (socks4) | 3597ms | BR
212.46.242.185:1080 (socks4) | 3606ms | RU
103.142.255.32:1080 (socks5) | 3645ms | ID
131.161.68.41:35944 (socks4) | 3646ms | BR
81.162.249.129:4153 (socks4) | 3671ms | UA
113.160.115.254:8080 (http) | 3678ms | VN
176.61.151.123:80 (http) | 3685ms | Unknown
193.24.222.150:33500 (socks5) | 3691ms | UA
189.50.138.10:5678 (socks4) | 3692ms | BR
180.148.25.190:3128 (http) | 3749ms | ID
188.132.150.44:8080 (http) | 3758ms | SY
173.254.204.118:7890 (http) | 3791ms | US
70.63.90.245:8080 (http) | 3797ms | US
157.66.50.55:8080 (http) | 3819ms | ID
103.55.22.236:8080 (http) | 3861ms | ID
34.207.102.197:40597 (http) | 3924ms | T1
102.211.146.31:8080 (http) | 3959ms | KE
43.208.237.116:16266 (http) | 4048ms | T1
110.39.15.206:8082 (http) | 4052ms | PK
103.37.82.134:39873 (socks4) | 4052ms | IN
182.16.171.65:51459 (socks4) | 4060ms | ID
103.221.228.50:5678 (socks4) | 4062ms | VN
202.58.77.195:8080 (http) | 4077ms | ID
114.130.176.210:8080 (http) | 4085ms | BD
103.166.159.231:8080 (http) | 4163ms | ID
103.115.255.225:36331 (socks4) | 4165ms | BD
213.27.29.153:51000 (socks5) | 4188ms | Unknown
162.240.19.30:80 (http) | 4189ms | Unknown
186.96.111.214:999 (http) | 4270ms | CO
179.1.126.25:999 (http) | 4278ms | CO
189.39.118.210:5678 (socks4) | 4299ms | Unknown
5.255.113.177:1080 (socks5) | 4339ms | NL
204.152.192.24:10808 (http) | 4343ms | US
69.61.200.104:36181 (socks4) | 4353ms | US
146.103.43.234:8118 (http) | 4354ms | DE
110.235.252.74:1080 (socks5) | 4444ms | KH
79.76.121.87:3128 (http) | 4447ms | DE
